== PGL(2,61): order 226920 built in 2.5s
  [PGL(2,61)] |G|=226920 degree=62 odd classes=23 involution classes=2 subgroup candidates=26 (largest 3660)  setup 228.5s
    pair ord(x)=61 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=4: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=5 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.4s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.5s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.4s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.5s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.5s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.1s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=4: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=5 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=5 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [6.1s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.3s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.2s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.9s]
    pair ord(x)=5 ord(ax)=4: True quotient by N(Z31) of order 124 (1830 vertices) [5.9s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=5 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=5 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [6.0s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=4: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.8s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
